COMID,date,Observed_Sediment_Flux,reservoir_capacity,relief,cropland_pct,forest_pct,shrubland_pct,grassland_pct,tundra_pct,wetland_pct,impervious_pct,bare_areas_pct,water_body_pct,perm_snow_ice_pct,longest_paths,Maximum_Temperature,Minimum_Temperature,Mean_Temperature,modelled_discharge,precipitation,1.1,2.1,3.1,4.1,5.1,6.1,7.1,8.1,9.1,10.1,11.1,12.1,Population,uparea,gdp_ud_usu,snowfall,sum_evaporation,sum_mean_surface_downward_long_wave_radiation,sum_mean_surface_downward_short_wave_radiation,sum_precipitation,sum_snowfall,sum_runoff,pre_mm_cyr,pre_mm_uyr,pet_mm_cyr,pet_mm_uyr,aet_mm_cyr,aet_mm_uyr,run_mm_cyr,ari_ix_cav,ari_ix_uav,ele_mt_cav,ele_mt_uav,ele_mt_cmx,slp_dg_cav,slp_dg_uav,sgr_dk_rav,for_pc_cse,for_pc_use,crp_pc_cse,crp_pc_use,pst_pc_cse,pst_pc_use,cly_pc_cav,cly_pc_uav,slt_pc_cav,slt_pc_uav,snd_pc_cav,snd_pc_uav,rev_mc_usu,dor_pc_pva,lit_cl_cmj,ero_kh_cav,ero_kh_uav,ppd_pk_cav,ppd_pk_uav,urb_pc_use,evaporation,mean_surface_downward_long_wave_radiation,mean_surface_downward_short_wave_radiation
74068275,1/11/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,280.63403,279.828,280.29504,844.10297,0,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-7.495292849,37449377.45,21188793.76,0,0,2.208328956,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-5.10E-05,254.67622,144.09537
74068275,1/12/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,279.73636,278.72968,278.97806,819.12103,0,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-6.761953367,36593922.63,21649403.82,0,0,2.161020256,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-4.60E-05,248.85866,147.22777
74068275,1/13/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,282.15985,281.23505,281.9931,788.64386,0,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-6.583081851,38086602.74,21989761.78,0,0,2.115242609,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-4.48E-05,259.0097,149.54239
74068275,1/14/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,283.4438,282.6481,283.11786,749.044,0,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-7.209297437,38098275.33,22180447.93,0,0,2.068882215,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-4.90E-05,259.08908,150.83916
74068275,1/15/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,277.7702,276.9768,276.54544,702.59045,0,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-5.851167548,33949508.55,22170682.54,0,0,2.023033985,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.98E-05,230.8752,150.77275
74068275,1/16/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,276.89404,276.07916,275.81903,654.6747,0,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-4.779855505,34889241.9,22293081.53,0,0,1.97922971,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.25E-05,237.2659,151.60513
74068275,1/17/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,277.23297,276.3435,276.39304,610.11914,1.88E-06,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,0,-3.663473553,37162357.86,19790342.84,0.276318219,0,1.985117913,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.49E-05,252.72433,134.58514
74068275,1/18/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,276.47806,276.13272,275.83002,571.5328,0.00016636,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,2.17E-05,-3.641885728,46172523.89,4218890.561,24.46276021,3.185529146,2.071102036,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.48E-05,313.99838,28.69076
74068275,1/19/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,275.4126,275.2148,274.3193,539.426,0.000148179,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,1.96E-06,-4.84260723,47096593.79,4929618.771,21.78925288,0.288110169,2.074436622,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-3.29E-05,320.28256,33.5241
74068275,1/20/1983,nan,135.8829497,1462.000072,24.30998841,22.94853842,7.380931767,42.19314015,0,1.496398359,0.450473028,0.126907382,1.093622483,0,1799.570813,274.0187,273.81073,273.29044,512.9245,0.000120952,0.053473668,0.028521646,0,15.06126676,0.177915693,2.059814168,79.51711122,0.809491664,2.292334498,0,7.07E-05,0,1409096.918,147047.0131,73603809280,4.44E-05,-3.824449006,46226846,4004102.959,17.78564709,6.53104956,1.892576155,1218,819,1401,1398,1008,688,403,87,59,68,468,107,10,13,2,4,19,49,33,9,41,25,22,43,37,32,40,29288,1254,1,8752,1572,1.601,10.435,1,-2.60E-05,314.3678,27.230087
